Summons Number,Plate ID,Registration State,Plate Type,Issue Date,Violation Code,Vehicle Body Type,Vehicle Make,Issuing Agency,Street Code1,Street Code2,Street Code3,Vehicle Expiration Date,Violation Location,Violation Precinct,Issuer Precinct,Issuer Code,Issuer Command,Issuer Squad,Violation Time,Time First Observed,Violation County,Violation In Front Of Or Opposite,House Number,Street Name,Intersecting Street,Date First Observed,Law Section,Sub Division,Violation Legal Code,Days Parking In Effect    ,From Hours In Effect,To Hours In Effect,Vehicle Color,Unregistered Vehicle?,Vehicle Year,Meter Number,Feet From Curb,Violation Post Code,Violation Description,No Standing or Stopping Violation,Hydrant Violation,Double Parking Violation
8723297750,HUT9277,NY,PAS,2019-07-27T00:00:00.000,37,4DSD,HONDA,T,75530,64330,5280,20190816.0,0084,84,84,364895,T301,D,0112P,1255P,K,O,323,Schermerhorn St,,0,408,C,, YYYYYY,0900A,0700P,RD,,2018,,0,06,,,,
8727621546,AU763N,NJ,PAS,2019-07-30T00:00:00.000,20,DELV,INTER,T,29290,20190,26790,88880088.0,0005,5,5,356960,T101,M,0721A,,NY,O,19,Prince St,,0,408,I3,, YYYYYY,0700A,0700P,GREEN,,0,,0,B,,,,
8766460001,DNM4316,NY,PAS,2019-09-18T00:00:00.000,38,SUBN,LEXUS,T,28830,14130,14180,20200427.0,0070,70,70,368501,T302,I,1235P,1228P,K,O,1486,Coney Island Ave,,0,408,F1,, YYYYY,0800A,0700P,GY,,2018,,0,05,,,,
8748110231,74378MK,NY,COM,2019-06-27T00:00:00.000,21,VAN,FORD,T,44990,35350,35370,20190831.0,0020,20,20,357737,T103,I,1133A,,NY,F,401,West End Ave,,0,408,D1,, Y  Y,1100A,1230A,WH,,2012,,0,47,,,,
8698385655,28566MH,NY,COM,2019-10-28T00:00:00.000,20,VAN,INTER,T,25990,13810,30790,88880088.0,0001,1,1,361367,T101,D,0924A,,NY,F,65,Mercer St,,0,408,D,, YYYYY,0800A,0600P,BROWN,,2016,,0,40,,,,
4664804453,EEJ1292,NY,PAS,2019-08-29T00:00:00.000,36,4DSD,HONDA,V,0,19895,0,0E-8,,0,0,0,,,1048A,,QN,,,WB SEAGIRT BLVD @ CR,EST RD,0,1180,B,T,,,,BL,,2018,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
4660374440,HHK5212,NY,PAS,2019-07-29T00:00:00.000,36,SUBN,NISSA,V,0,0,0,0E-8,,0,0,0,,,0621A,,BK,,,NB ROGERS AVE @ PROS,PECT PL,0,1180,B,T,,,,GY,,2019,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
8771883526,33358JB,NY,COM,2019-10-14T00:00:00.000,48,VAN,INTER,T,35310,14510,15710,88880088.0,0020,20,20,358194,T103,M,0537P,,NY,F,50,W 77th St,,0,408,F1,,YYYYYYY,,,BROWN,,2001,,0,G,,,,
8782863520,GST3673,NY,PAS,2019-10-04T00:00:00.000,38,CONV,PORSC,T,33390,34030,34050,20200923.0,0006,6,6,358600,T105,N,0825P,,NY,F,860,Washington St,,0,408,I4,, YYYYY,0400P,1100P,BLACK,,2009,,0,005,,,,
8733796725,JKE9127,NY,PAS,2019-10-10T00:00:00.000,21,4DSD,BMW,T,40230,36180,36230,20210710.0,0067,67,67,331245,T302,L,0819A,,K,F,3120,Farragut Rd,,0,408,D1,, Y  Y,0800A,0930A,GY,,2016,,0,L,,,,
8674749732,FET6670,NY,PAS,2019-06-26T00:00:00.000,38,4DSD,HONDA,T,13430,77730,51030,20200916.0,0084,84,84,367906,T102,L,0423P,,K,F,333,Atlantic Ave,,0,408,C,, YYYYYY,0900A,0700P,BK,,2018,,0,99,,,,
8682987387,HKD348,VT,PAS,2019-08-10T00:00:00.000,40,SUBN,JEEP,T,17050,12210,12310,88880088.0,0009,9,9,363490,T800,A2,0756P,,NY,F,236,E 3rd St,,0,408,E2,,YYYYYYY,,,GREY,,0,,0,A,,,,
4667232365,R75CDF,NJ,PAS,2019-09-27T00:00:00.000,36,WAGO,CHEVR,V,0,0,0,0E-8,,0,0,0,,,1055A,,MN,,,EB E HOUSTON ST @ AV,E C,0,1180,B,T,,,,BR.,,2012,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
8753258370,GYE3861,NY,PAS,2019-07-28T00:00:00.000,70,4DSD,HYUND,T,54580,0,0,20190726.0,109,109,109,367318,T401,P,1017A,,Q,I,W,Main St,50ft S/of Elder Ave,0,408,C3,,YYYYYYY,,,GY,,2001,,0,04-A,,,,
8760413300,AP599Y,NJ,PAS,2019-09-13T00:00:00.000,14,DELV,NS/OT,T,34770,10410,29900,88880088.0,0017,17,17,358204,T106,A,0900A,,NY,F,9,W 50th St,,0,408,C,, YYYYY,0700A,1000A,BLUE,,0,,0,C,,,,
